adm1 identifier,report,log10 of population,surveillance quality,temperature suitability index,rainfall delayed by one month,interaction of the temperature suitability index and rainfall delayed by one month,EVI
SOM7,0,5.489124806,2.152947454,37.84058283,1.070315609,34.5162737,0.177586222
SOM8,0,5.456192989,2.152947454,32.28169468,0.862628463,23.68909912,0.16955259
SOM9,0,5.285317358,2.152947454,37.69064574,1.300073026,43.36488577,0.301270703
SSD1,0,6.186503017,2.152947454,29.48322813,2.736455696,61.34451929,0.270948022
SSD2,1,6.171651199,2.152947454,18.03963156,2.909356761,44.99706948,0.329068652
SSD3,0,6.221779982,2.152947454,29.17732526,2.246495197,51.58431889,0.255968473
SWZ1,0,5.37146384,2.152947454,5.610734845,1.671769654,13.78734451,0.327348944
SWZ2,0,5.239870832,2.152947454,10.59939849,1.6604533,24.42336901,0.304513766
SWZ3,0,5.417930678,2.152947454,6.893299997,1.800174073,18.16195863,0.316463751
SWZ4,0,5.251730763,2.152947454,6.187817992,1.716943306,15.78355759,0.293364721
TCD1,0,5.387052687,0.440732202,49.19145451,1.282501495,61.98576195,0.164918021
TCD10,0,5.46979548,0.440732202,36.49209493,2.910911957,81.49306506,0.283373545
TCD11,0,5.548444688,0.440732202,39.35772097,2.493774524,78.33002541,0.249328104
TCD12,0,5.414208884,0.440732202,34.38826521,2.775437592,74.43845552,0.247970009
TCD13,0,5.442400114,0.440732202,35.5344944,2.980403416,80.39843191,0.263755335
TCD14,1,5.707565174,0.440732202,39.65289793,1.634144102,51.96810522,0.185560432
TCD15,0,5.155285619,0.440732202,32.5470232,2.366764981,54.01599236,0.245374279
TCD16,0,5.499521069,0.440732202,37.7330144,2.841676469,83.60336876,0.243549978
TCD17,0,5.745833592,0.440732202,52.22148667,1.817655079,83.75641186,0.16579377
TCD18,1,5.340974156,0.440732202,33.09682724,1.04750963,36.55599145,0.143823857
TCD2,0,5.138090519,0.440732202,44.68525807,0.219218623,13.72125159,0.088280718
TCD3,0,5.298505809,0.440732202,44.53801076,2.277445614,75.27305755,0.256686167
TCD4,0,5.40857139,0.440732202,33.87431312,2.323686967,58.61287088,0.233319278
TCD5,0,5.41586778,0.440732202,47.33157922,1.728054537,70.32092878,0.209765314
TCD6,0,5.454358791,0.440732202,54.8285093,1.009247545,64.65275801,0.146548685
TCD7,0,5.319795934,0.440732202,49.13133014,1.160392683,64.28278481,0.173820426
TCD8,0,5.43747907,0.440732202,34.15405641,2.936867628,78.48407927,0.255696278
TCD9,0,5.613758142,0.440732202,30.92518184,3.019463607,70.5375814,0.278392515
TGO1,1,5.366793477,6.333796019,24.04416124,3.291857489,69.23737322,0.307369722
TGO2,1,5.579469462,6.333796019,27.72327227,3.419977886,78.84430034,0.274804311
TGO3,1,5.938572402,6.333796019,27.46902104,2.405027379,62.97963923,0.303112196
TGO4,1,5.744573041,6.333796019,23.50098799,3.170386144,69.11316831,0.360694294
TGO5,1,5.468176473,6.333796019,33.82237697,2.769074297,76.52423575,0.252725172
TUN1,0,5.514177801,2.152947454,11.21908697,1.581010627,8.244384167,0.18720409
TUN10,0,5.074256355,2.152947454,27.85402133,0.374110138,6.470333443,0.128193768
TUN11,0,5.330707275,2.152947454,7.769959961,1.502925937,7.523239785,0.213298766
TUN12,0,5.495565178,2.152947454,16.34777529,0.860848061,7.51466121,0.163466574
TUN13,0,5.557122647,2.152947454,10.60436089,1.779677982,8.726378723,0.267238242
TUN14,0,5.554300822,2.152947454,20.14319057,0.436897482,3.517085746,0.105255864
TUN15,0,5.576864576,2.152947454,15.11735831,1.007215351,7.209866057,0.162166471
TUN16,0,5.760093344,2.152947454,9.732222136,1.452058009,6.635724555,0.26384642
TUN17,0,5.850357541,2.152947454,17.81663747,0.613455247,5.472518588,0.129291438
TUN18,0,5.515417423,2.152947454,14.14433876,0.807528512,9.269366807,0.152025972
TUN19,0,5.287451535,2.152947454,7.495595653,1.509898832,6.87115498,0.227155876
TUN2,0,5.401852736,2.152947454,9.049273963,1.82557875,7.323527982,0.25924669
TUN20,0,5.653507756,2.152947454,15.27731933,0.956690525,7.50240553,0.171207039
TUN21,0,5.075873505,2.152947454,20.63381896,0.335129575,2.724824705,0.10041941
TUN22,0,4.902153312,2.152947454,27.01749972,0.39699039,5.568210082,0.124628827
TUN23,0,5.864497835,2.152947454,12.30104702,1.594956505,9.052817494,0.20287342
TUN24,0,5.124980141,2.152947454,10.08902998,1.497410763,8.095667229,0.241308926
TUN3,0,5.619371739,2.152947454,12.07671658,1.534222205,9.296326116,0.240934876
TUN4,0,5.637697761,2.152947454,8.922632503,1.759679397,6.565665098,0.277153247
TUN5,0,5.453087702,2.152947454,18.53813267,0.563767336,5.113222677,0.136355509
TUN6,0,5.42840738,2.152947454,18.06617974,0.555354347,5.915920402,0.141090895
TUN7,0,5.535024602,2.152947454,9.939879117,1.957367522,8.374814422,0.270557616
TUN8,0,5.655622851,2.152947454,15.18068226,1.052786512,10.85056611,0.18012132
TUN9,0,5.532539514,2.152947454,8.020808808,1.070694505,7.26064022,0.165308777
TZA1,0,6.023783585,2.152947454,8.499562803,1.204782403,10.21378245,0.229700516
TZA10,0,5.159075537,2.152947454,18.0854851,1.881687195,34.21567316,0.375065342
TZA11,0,5.809789555,2.152947454,16.9738646,2.331438066,40.83335607,0.335942466
TZA12,0,5.932544273,2.152947454,7.897634901,1.342721454,10.9827109,0.237820993
TZA13,0,6.047375981,2.152947454,7.755654224,2.510712125,18.19255865,0.28248593
